system:index,BII2020,.geo
8,0.8955442905426025,"{""type"":""Point"",""coordinates"":[112.33162696019153,-0.7812167306650167]}"
11,0.8366425037384033,"{""type"":""Point"",""coordinates"":[113.73113884836138,-0.9599447447858361]}"
14,0.8498533964157104,"{""type"":""Point"",""coordinates"":[112.76426143367567,-3.2314853606145846]}"
16,0.8091199398040771,"{""type"":""Point"",""coordinates"":[114.43818671238402,-2.4772634484382863]}"
25,0.8506730198860168,"{""type"":""Point"",""coordinates"":[114.506060627927,-1.113777010654234]}"
30,0.8601875901222229,"{""type"":""Point"",""coordinates"":[111.647628506259,-1.762276396046729]}"
34,0.8600232601165771,"{""type"":""Point"",""coordinates"":[115.38163540595613,-0.30371243019964816]}"
48,0.8389025330543518,"{""type"":""Point"",""coordinates"":[117.16592309473857,1.8536431576723518]}"
64,0.8576734662055969,"{""type"":""Point"",""coordinates"":[116.12874604794621,-2.621073768871709]}"
88,0.3805159628391266,"{""type"":""Point"",""coordinates"":[109.24838342742413,-0.48712211214972284]}"
94,0.8511595726013184,"{""type"":""Point"",""coordinates"":[109.76710013197906,-0.448323218267937]}"
101,0.8852548003196716,"{""type"":""Point"",""coordinates"":[115.54891802195196,-0.44201622526747325]}"
102,0.8665430545806885,"{""type"":""Point"",""coordinates"":[111.11963560737445,0.3720881199058357]}"
106,0.7160477042198181,"{""type"":""Point"",""coordinates"":[117.20346061323667,2.2470880861109013]}"
110,0.8571370840072632,"{""type"":""Point"",""coordinates"":[109.83768175366752,-0.6500258474650813]}"
127,0.6223784685134888,"{""type"":""Point"",""coordinates"":[110.23075771886664,-0.9491657356982448]}"
135,0.864875853061676,"{""type"":""Point"",""coordinates"":[114.1079779568895,-1.5965134098794902]}"
188,0.857120156288147,"{""type"":""Point"",""coordinates"":[114.20698481899352,-2.386309789910086]}"
195,0.6811025738716125,"{""type"":""Point"",""coordinates"":[109.20166017556805,0.6212803873277083]}"
197,0.7862146496772766,"{""type"":""Point"",""coordinates"":[109.87302670197025,-0.13580137685609966]}"
204,0.8547343015670776,"{""type"":""Point"",""coordinates"":[114.44144176101729,-2.1810064381598036]}"
206,0.8565409779548645,"{""type"":""Point"",""coordinates"":[112.81373063520509,-2.8206698510564707]}"
219,0.705039381980896,"{""type"":""Point"",""coordinates"":[112.18344293695256,-2.237358725365209]}"
224,0.9203095436096191,"{""type"":""Point"",""coordinates"":[114.64844555838101,-0.7341978276388827]}"
226,0.7539200782775879,"{""type"":""Point"",""coordinates"":[115.76762862801529,-0.6430904626180812]}"
241,0.7052357196807861,"{""type"":""Point"",""coordinates"":[109.4388580471633,-0.26110616984894114]}"
245,0.8565499782562256,"{""type"":""Point"",""coordinates"":[110.8747085511131,0.5092513094395575]}"
246,0.9231172204017639,"{""type"":""Point"",""coordinates"":[114.05701930130836,-0.7117290354799244]}"
