driver,system:index,.geo
Permanent Agriculture,1_1_1_1_2_0,"{""type"":""Point"",""coordinates"":[115.28515820699474,-1.6801141440404683]}"
Permanent Agriculture,1_1_1_1_2_10,"{""type"":""Point"",""coordinates"":[115.24403114775863,-1.6106419837143837]}"
Permanent Agriculture,1_1_1_1_2_40,"{""type"":""Point"",""coordinates"":[112.25623198997333,1.0901148998919716]}"
Permanent Agriculture,1_1_1_1_2_43,"{""type"":""Point"",""coordinates"":[117.40068134474618,4.207703631710643]}"
Permanent Agriculture,1_1_1_1_2_62,"{""type"":""Point"",""coordinates"":[113.9333662372364,-0.8577265968075936]}"
Permanent Agriculture,1_1_1_1_2_72,"{""type"":""Point"",""coordinates"":[116.92354297647529,2.8241083461145]}"
Permanent Agriculture,1_1_1_1_2_74,"{""type"":""Point"",""coordinates"":[109.9233820874958,0.6812224040770363]}"
Permanent Agriculture,1_1_1_1_2_94,"{""type"":""Point"",""coordinates"":[116.05554278656271,-3.1104718025350433]}"
Permanent Agriculture,1_1_1_1_2_115,"{""type"":""Point"",""coordinates"":[109.9575036253407,-1.777777802607773]}"
Permanent Agriculture,1_1_1_1_2_121,"{""type"":""Point"",""coordinates"":[111.6173650936151,-0.13833805828662465]}"
Permanent Agriculture,1_1_1_1_2_131,"{""type"":""Point"",""coordinates"":[117.22783150757783,2.217913674385067]}"
Permanent Agriculture,1_1_1_1_2_132,"{""type"":""Point"",""coordinates"":[116.12626922982376,-1.4917689769617042]}"
Permanent Agriculture,1_1_1_1_2_142,"{""type"":""Point"",""coordinates"":[110.14685328282047,-1.485843017468512]}"
Permanent Agriculture,1_1_1_1_2_143,"{""type"":""Point"",""coordinates"":[116.05160831023848,-0.07065785543013127]}"
Permanent Agriculture,1_1_1_1_2_220,"{""type"":""Point"",""coordinates"":[116.93039429131233,3.5962897138717147]}"
Permanent Agriculture,1_1_1_1_2_221,"{""type"":""Point"",""coordinates"":[118.54434391315074,0.9468777244877917]}"
