system:index,BII2020,.geo
0,0.8622649908065796,"{""type"":""Point"",""coordinates"":[115.28515820699502,-1.6801141440415774]}"
24,0.8549580574035645,"{""type"":""Point"",""coordinates"":[114.94935125201094,1.7882795543272412]}"
31,0.93521648645401,"{""type"":""Point"",""coordinates"":[111.69782198882602,-1.101883652428621]}"
37,0.8649379014968872,"{""type"":""Point"",""coordinates"":[109.86111793212517,-1.020778402431928]}"
39,0.8517817854881287,"{""type"":""Point"",""coordinates"":[114.03993008453888,-2.633164086665184]}"
43,0.7090358138084412,"{""type"":""Point"",""coordinates"":[117.40068134474618,4.207703631710643]}"
61,0.8684664368629456,"{""type"":""Point"",""coordinates"":[111.86963806364518,-0.9420850048106608]}"
62,0.7025393843650818,"{""type"":""Point"",""coordinates"":[113.9333662372364,-0.8577265968075936]}"
77,0.8465783596038818,"{""type"":""Point"",""coordinates"":[117.77155274341916,1.8827864449331368]}"
78,0.8460822105407715,"{""type"":""Point"",""coordinates"":[117.95555567123444,2.284539246345107]}"
90,0.8624782562255859,"{""type"":""Point"",""coordinates"":[113.13095476189129,-1.1041108995009152]}"
104,0.8609904050827026,"{""type"":""Point"",""coordinates"":[110.25011886697527,-0.7126529635043348]}"
105,0.9453813433647156,"{""type"":""Point"",""coordinates"":[112.90384326072015,1.0145765170513552]}"
108,0.8548076748847961,"{""type"":""Point"",""coordinates"":[117.3992646265644,2.4548617135467166]}"
142,0.7922736406326294,"{""type"":""Point"",""coordinates"":[110.14685328283744,-1.4858430174832467]}"
155,0.8558981418609619,"{""type"":""Point"",""coordinates"":[113.29072605659854,-2.6856889907957453]}"
176,0.8491438627243042,"{""type"":""Point"",""coordinates"":[109.2838174542353,-0.7399591676058298]}"
194,0.8077799677848816,"{""type"":""Point"",""coordinates"":[115.35778946325964,-0.4770774213437017]}"
197,0.8218269348144531,"{""type"":""Point"",""coordinates"":[110.3032012022894,-2.670058877899556]}"
209,0.8579636812210083,"{""type"":""Point"",""coordinates"":[114.1720844434419,0.7933738202048998]}"
217,0.722468912601471,"{""type"":""Point"",""coordinates"":[115.0828080717278,-1.0113929230228254]}"
220,0.870790958404541,"{""type"":""Point"",""coordinates"":[116.93039429131161,3.596289713871777]}"
257,0.7654627561569214,"{""type"":""Point"",""coordinates"":[117.53866158290691,2.6443266455213665]}"
267,0.5526270270347595,"{""type"":""Point"",""coordinates"":[109.4767422916684,1.294969007895388]}"
273,0.7543798685073853,"{""type"":""Point"",""coordinates"":[115.83299375190697,-0.9456344822346083]}"
278,0.6981228590011597,"{""type"":""Point"",""coordinates"":[115.64689165196509,-3.2812228612415977]}"
296,0.663968026638031,"{""type"":""Point"",""coordinates"":[114.10670426615387,-0.8416416112042756]}"
301,0.7989728450775146,"{""type"":""Point"",""coordinates"":[117.38333949505326,2.2633513973275403]}"
305,0.6098012328147888,"{""type"":""Point"",""coordinates"":[109.81280630505132,-0.2879584048910493]}"
308,0.8540987968444824,"{""type"":""Point"",""coordinates"":[111.30493210528078,-2.1524532612173126]}"
323,0.8525106906890869,"{""type"":""Point"",""coordinates"":[115.68789210892615,-1.9156093023077843]}"
325,0.8727144002914429,"{""type"":""Point"",""coordinates"":[116.99372360369435,3.3856626897228725]}"
335,0.7211214303970337,"{""type"":""Point"",""coordinates"":[112.85517344458133,-2.1830938240703124]}"
342,0.9262783527374268,"{""type"":""Point"",""coordinates"":[113.55665058221237,-0.7741296705843255]}"
352,0.8774834275245667,"{""type"":""Point"",""coordinates"":[117.7168261822422,2.266977482386889]}"
353,0.7350209951400757,"{""type"":""Point"",""coordinates"":[111.69040501732856,0.474520405503553]}"
361,0.7176491022109985,"{""type"":""Point"",""coordinates"":[110.11915280186595,-0.4430630856809709]}"
386,0.8897697329521179,"{""type"":""Point"",""coordinates"":[112.84296393171434,-0.05851355109607468]}"
399,0.8559622764587402,"{""type"":""Point"",""coordinates"":[111.66378566223106,-0.5865849934793287]}"
428,0.938001275062561,"{""type"":""Point"",""coordinates"":[111.03202863711797,-1.8468772596777383]}"
442,0.7240036725997925,"{""type"":""Point"",""coordinates"":[110.31788962650182,-0.3665861659052475]}"
445,0.5843824744224548,"{""type"":""Point"",""coordinates"":[109.71455437969637,1.4770842786142975]}"
449,0.8669605255126953,"{""type"":""Point"",""coordinates"":[118.04006605844958,1.195993961948357]}"
483,0.5089269280433655,"{""type"":""Point"",""coordinates"":[113.34717608391294,-1.3900329334700714]}"
486,0.8511971831321716,"{""type"":""Point"",""coordinates"":[112.27915299052252,-3.145787970022483]}"
492,0.8685187697410583,"{""type"":""Point"",""coordinates"":[111.70738371112489,0.6428167591598897]}"
496,0.3546363115310669,"{""type"":""Point"",""coordinates"":[109.18063914393724,0.2886859970111716]}"
497,0.7896766066551208,"{""type"":""Point"",""coordinates"":[115.45535108062009,-3.366367519444514]}"
