system:index,BII2020,driver,.geo
1_1_1_1_2_0,0.8622649908065796,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.28515820699474,-1.6801141440404683]}"
1_1_1_1_2_10,0.8986780643463135,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.24403114775863,-1.6106419837143837]}"
1_1_1_1_2_40,0.9085645079612732,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.25623198997333,1.0901148998919716]}"
1_1_1_1_2_43,0.7090358138084412,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.40068134474618,4.207703631710643]}"
1_1_1_1_2_62,0.7025393843650818,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.9333662372364,-0.8577265968075936]}"
1_1_1_1_2_72,0.9069799780845642,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.92354297647529,2.8241083461145]}"
1_1_1_1_2_74,0.938213586807251,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.9233820874958,0.6812224040770363]}"
1_1_1_1_2_94,0.7173017263412476,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.05554278656271,-3.1104718025350433]}"
1_1_1_1_2_115,0.8433721661567688,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.9575036253407,-1.777777802607773]}"
1_1_1_1_2_121,0.8117666244506836,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.6173650936151,-0.13833805828662465]}"
1_1_1_1_2_131,0.7125469446182251,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.22783150757783,2.217913674385067]}"
1_1_1_1_2_132,0.856893002986908,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.12626922982376,-1.4917689769617042]}"
1_1_1_1_2_142,0.7922736406326294,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.14685328282047,-1.485843017468512]}"
1_1_1_1_2_143,0.7351981401443481,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.05160831023848,-0.07065785543013127]}"
1_1_1_1_2_220,0.870790958404541,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[116.93039429131233,3.5962897138717147]}"
1_1_1_1_2_221,0.9437830448150635,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[118.54434391315074,0.9468777244877917]}"
1_1_1_1_2_235,0.3662998378276825,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.9875834864782,-1.7435503351100583]}"
1_1_1_1_2_257,0.7654627561569214,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.53866158412565,2.6443266452693925]}"
1_1_1_1_2_267,0.5526270270347595,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.47674229166837,1.2949690078942502]}"
1_1_1_1_2_273,0.7543798685073853,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.83299375190748,-0.9456344822383079]}"
1_1_1_1_2_278,0.6981228590011597,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.64689165196509,-3.2812228612415977]}"
1_1_1_1_2_282,0.8000659346580505,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.37638445332304,0.2912342255461718]}"
1_1_1_1_2_296,0.663968026638031,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[114.10670426615387,-0.8416416112042756]}"
1_1_1_1_2_305,0.6098012328147888,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.81280630505132,-0.2879584048910493]}"
1_1_1_1_2_308,0.8540987968444824,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.30493210527901,-2.152453261215739]}"
1_1_1_1_2_312,0.8258179426193237,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.98932972273805,-2.220721557571046]}"
1_1_1_1_2_332,0.46565869450569153,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.92794795324596,-1.99371638886443]}"
1_1_1_1_2_335,0.7211214303970337,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.85517344458154,-2.1830938240704287]}"
1_1_1_1_2_339,0.9394010305404663,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.04031756352933,1.0469385680624952]}"
1_1_1_1_2_352,0.8774834275245667,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.7168261822422,2.266977482386889]}"
1_1_1_1_2_353,0.7350209951400757,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.69040501732856,0.474520405503553]}"
1_1_1_1_2_361,0.7176491022109985,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.11915280186595,-0.4430630856809709]}"
1_1_1_1_2_369,0.8813017010688782,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.69025443466003,-1.3718441908246373]}"
1_1_1_1_2_379,0.8884943127632141,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.21481007871552,-1.280244840709831]}"
1_1_1_1_2_417,0.9009808301925659,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[114.94093725460846,-1.7355788854356788]}"
1_1_1_1_2_418,0.8692022562026978,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.86719572202026,0.45543965494519795]}"
1_1_1_1_2_442,0.7240036725997925,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.31788962650175,-0.3665861659051449]}"
1_1_1_1_2_445,0.5843824744224548,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.71455437969688,1.4770842786067726]}"
1_1_1_1_2_449,0.8669605255126953,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[118.0400660582843,1.1959939618553652]}"
1_1_1_1_2_451,0.8541076183319092,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.03973772031671,-1.7560990401091623]}"
1_1_1_1_2_454,0.7460248470306396,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[112.8118258318683,-2.701208018203145]}"
1_1_1_1_2_468,0.7959731221199036,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.19425343295883,-2.4141689714969385]}"
1_1_1_1_2_471,0.7876520156860352,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.28792816433064,-1.4361923269001948]}"
1_1_1_1_2_483,0.5089269280433655,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[113.34717608385591,-1.3900329334206984]}"
1_1_1_1_2_492,0.8685187697410583,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[111.70738371112489,0.6428167591598897]}"
1_1_1_1_2_496,0.3546363115310669,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.18063914393585,0.288685997014488]}"
1_1_1_1_2_497,0.7896766066551208,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[115.45535108061931,-3.3663675194439064]}"
1_1_1_1_2_501,0.8650108575820923,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[117.12552983177973,3.652321008091605]}"
1_1_1_1_2_515,0.8456703424453735,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.47481768100218,-1.585919394864885]}"
1_1_1_1_2_535,0.7032995820045471,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[118.36531385277416,1.4105020833322086]}"
1_1_1_1_2_537,0.864289402961731,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[110.86342862669662,-0.5409413134467896]}"
1_1_1_1_2_544,0.889904797077179,Permanent Agriculture,"{""type"":""Point"",""coordinates"":[109.79039289284032,1.0965281704236571]}"
