driver,system:index,.geo
Permanent Agriculture,1_1_1_1_2_0,"{""type"":""Point"",""coordinates"":[115.28515820699502,-1.6801141440415774]}"
Permanent Agriculture,1_1_1_1_2_10,"{""type"":""Point"",""coordinates"":[115.24403114775895,-1.6106419837156338]}"
Permanent Agriculture,1_1_1_1_2_40,"{""type"":""Point"",""coordinates"":[112.2562319899826,1.0901148998924721]}"
Permanent Agriculture,1_1_1_1_2_43,"{""type"":""Point"",""coordinates"":[117.40068134474618,4.207703631710643]}"
Permanent Agriculture,1_1_1_1_2_62,"{""type"":""Point"",""coordinates"":[113.9333662372364,-0.8577265968075936]}"
Permanent Agriculture,1_1_1_1_2_72,"{""type"":""Point"",""coordinates"":[116.92354297647522,2.8241083461145617]}"
Permanent Agriculture,1_1_1_1_2_74,"{""type"":""Point"",""coordinates"":[109.9233820874958,0.6812224040770363]}"
Permanent Agriculture,1_1_1_1_2_94,"{""type"":""Point"",""coordinates"":[116.05554278656271,-3.110471802535043]}"
Permanent Agriculture,1_1_1_1_2_115,"{""type"":""Point"",""coordinates"":[109.95750362534085,-1.7777778026019246]}"
Permanent Agriculture,1_1_1_1_2_121,"{""type"":""Point"",""coordinates"":[111.61736509361538,-0.13833805828692602]}"
Permanent Agriculture,1_1_1_1_2_131,"{""type"":""Point"",""coordinates"":[117.22783150757789,2.2179136743854415]}"
Permanent Agriculture,1_1_1_1_2_132,"{""type"":""Point"",""coordinates"":[116.12626922982376,-1.4917689769617033]}"
Permanent Agriculture,1_1_1_1_2_142,"{""type"":""Point"",""coordinates"":[110.14685328283744,-1.4858430174832467]}"
Permanent Agriculture,1_1_1_1_2_143,"{""type"":""Point"",""coordinates"":[116.05160831023854,-0.07065785543026089]}"
Permanent Agriculture,1_1_1_1_2_220,"{""type"":""Point"",""coordinates"":[116.93039429131161,3.596289713871777]}"
Permanent Agriculture,1_1_1_1_2_221,"{""type"":""Point"",""coordinates"":[118.54434391315074,0.9468777244877917]}"
Permanent Agriculture,1_1_1_1_2_235,"{""type"":""Point"",""coordinates"":[112.98758348647836,-1.7435503351102652]}"
Permanent Agriculture,1_1_1_1_2_257,"{""type"":""Point"",""coordinates"":[117.53866158290691,2.6443266455213665]}"
Permanent Agriculture,1_1_1_1_2_267,"{""type"":""Point"",""coordinates"":[109.4767422916684,1.294969007895388]}"
Permanent Agriculture,1_1_1_1_2_273,"{""type"":""Point"",""coordinates"":[115.83299375190697,-0.9456344822346083]}"
Permanent Agriculture,1_1_1_1_2_278,"{""type"":""Point"",""coordinates"":[115.64689165196509,-3.2812228612415977]}"
Permanent Agriculture,1_1_1_1_2_282,"{""type"":""Point"",""coordinates"":[109.37638445332269,0.2912342255454413]}"
Permanent Agriculture,1_1_1_1_2_296,"{""type"":""Point"",""coordinates"":[114.10670426615387,-0.8416416112042756]}"
Permanent Agriculture,1_1_1_1_2_305,"{""type"":""Point"",""coordinates"":[109.81280630505132,-0.2879584048910493]}"
Permanent Agriculture,1_1_1_1_2_308,"{""type"":""Point"",""coordinates"":[111.30493210528078,-2.1524532612173126]}"
Permanent Agriculture,1_1_1_1_2_312,"{""type"":""Point"",""coordinates"":[115.98932972273874,-2.220721557571404]}"
Permanent Agriculture,1_1_1_1_2_332,"{""type"":""Point"",""coordinates"":[112.9279479532463,-1.993716388864688]}"
Permanent Agriculture,1_1_1_1_2_335,"{""type"":""Point"",""coordinates"":[112.85517344458133,-2.1830938240703124]}"
Permanent Agriculture,1_1_1_1_2_339,"{""type"":""Point"",""coordinates"":[112.04031756353348,1.0469385680628651]}"
Permanent Agriculture,1_1_1_1_2_352,"{""type"":""Point"",""coordinates"":[117.7168261822422,2.266977482386889]}"
Permanent Agriculture,1_1_1_1_2_353,"{""type"":""Point"",""coordinates"":[111.69040501732856,0.474520405503553]}"
Permanent Agriculture,1_1_1_1_2_361,"{""type"":""Point"",""coordinates"":[110.11915280186595,-0.4430630856809709]}"
Permanent Agriculture,1_1_1_1_2_369,"{""type"":""Point"",""coordinates"":[112.69025443466035,-1.371844190824949]}"
Permanent Agriculture,1_1_1_1_2_379,"{""type"":""Point"",""coordinates"":[113.21481007873878,-1.2802448407299634]}"
Permanent Agriculture,1_1_1_1_2_417,"{""type"":""Point"",""coordinates"":[114.94093725460843,-1.735578885435592]}"
Permanent Agriculture,1_1_1_1_2_418,"{""type"":""Point"",""coordinates"":[110.86719572202026,0.45543965494519795]}"
Permanent Agriculture,1_1_1_1_2_442,"{""type"":""Point"",""coordinates"":[110.31788962650182,-0.3665861659052475]}"
Permanent Agriculture,1_1_1_1_2_445,"{""type"":""Point"",""coordinates"":[109.71455437969637,1.4770842786142975]}"
Permanent Agriculture,1_1_1_1_2_449,"{""type"":""Point"",""coordinates"":[118.04006605844958,1.195993961948357]}"
Permanent Agriculture,1_1_1_1_2_451,"{""type"":""Point"",""coordinates"":[113.03973772031671,-1.756099040109183]}"
Permanent Agriculture,1_1_1_1_2_454,"{""type"":""Point"",""coordinates"":[112.8118258318674,-2.701208018202664]}"
Permanent Agriculture,1_1_1_1_2_468,"{""type"":""Point"",""coordinates"":[110.19425343295926,-2.4141689714969314]}"
Permanent Agriculture,1_1_1_1_2_471,"{""type"":""Point"",""coordinates"":[110.28792816433194,-1.4361923269009649]}"
Permanent Agriculture,1_1_1_1_2_483,"{""type"":""Point"",""coordinates"":[113.34717608391294,-1.3900329334700714]}"
Permanent Agriculture,1_1_1_1_2_492,"{""type"":""Point"",""coordinates"":[111.70738371112489,0.6428167591598897]}"
Permanent Agriculture,1_1_1_1_2_496,"{""type"":""Point"",""coordinates"":[109.18063914393724,0.2886859970111716]}"
Permanent Agriculture,1_1_1_1_2_497,"{""type"":""Point"",""coordinates"":[115.45535108062009,-3.366367519444514]}"
Permanent Agriculture,1_1_1_1_2_501,"{""type"":""Point"",""coordinates"":[117.12552983177973,3.652321008091606]}"
Permanent Agriculture,1_1_1_1_2_515,"{""type"":""Point"",""coordinates"":[110.47481768100404,-1.5859193948664778]}"
Permanent Agriculture,1_1_1_1_2_535,"{""type"":""Point"",""coordinates"":[118.36531385277574,1.4105020833310813]}"
Permanent Agriculture,1_1_1_1_2_537,"{""type"":""Point"",""coordinates"":[110.86342862669662,-0.5409413134469243]}"
Permanent Agriculture,1_1_1_1_2_544,"{""type"":""Point"",""coordinates"":[109.79039289284032,1.0965281704236571]}"
Permanent Agriculture,1_1_1_1_2_546,"{""type"":""Point"",""coordinates"":[115.38733897052896,-3.251240551812089]}"
Permanent Agriculture,1_1_1_1_2_554,"{""type"":""Point"",""coordinates"":[112.53169901408745,-1.5978139856976075]}"
Permanent Agriculture,1_1_1_1_2_562,"{""type"":""Point"",""coordinates"":[110.88528190117306,0.7632329251766009]}"
Permanent Agriculture,1_1_1_1_2_605,"{""type"":""Point"",""coordinates"":[109.52136237936173,-0.16365120765667698]}"
Permanent Agriculture,1_1_1_1_2_626,"{""type"":""Point"",""coordinates"":[116.3235742497268,-1.3101315473584658]}"
Permanent Agriculture,1_1_1_1_2_646,"{""type"":""Point"",""coordinates"":[118.13146960051856,1.1874292101951092]}"
Permanent Agriculture,1_1_1_1_2_669,"{""type"":""Point"",""coordinates"":[110.8988272179638,0.39646582249359097]}"
Permanent Agriculture,1_1_1_1_2_675,"{""type"":""Point"",""coordinates"":[109.69584381412362,1.3479006204338886]}"
Permanent Agriculture,1_1_1_1_2_699,"{""type"":""Point"",""coordinates"":[113.01434646794198,-1.2518404594993617]}"
Permanent Agriculture,1_1_1_1_2_703,"{""type"":""Point"",""coordinates"":[110.20410334706415,-1.3619221010353135]}"
Permanent Agriculture,1_1_1_1_2_732,"{""type"":""Point"",""coordinates"":[114.8857780865363,-1.2293378173226475]}"
Permanent Agriculture,1_1_1_1_2_740,"{""type"":""Point"",""coordinates"":[115.62079824595111,-0.3660256236668907]}"
Permanent Agriculture,1_1_1_1_2_823,"{""type"":""Point"",""coordinates"":[109.30500816792376,1.130959585395494]}"
Permanent Agriculture,1_1_1_1_2_830,"{""type"":""Point"",""coordinates"":[110.67174685594414,-1.3321919036215422]}"
Permanent Agriculture,1_1_1_1_2_845,"{""type"":""Point"",""coordinates"":[112.73954671185828,-2.607231099476289]}"
Permanent Agriculture,1_1_1_1_2_860,"{""type"":""Point"",""coordinates"":[110.45433154822813,-1.44887072098567]}"
Permanent Agriculture,1_1_1_1_2_866,"{""type"":""Point"",""coordinates"":[113.98478996398775,-1.1230788806691134]}"
Permanent Agriculture,1_1_1_1_2_904,"{""type"":""Point"",""coordinates"":[109.00919628833624,0.5928319783775157]}"
Permanent Agriculture,1_1_1_1_2_932,"{""type"":""Point"",""coordinates"":[115.08186115741071,-0.8803034695240671]}"
Permanent Agriculture,1_1_1_1_2_933,"{""type"":""Point"",""coordinates"":[117.15429867660433,2.0821440722962565]}"
Permanent Agriculture,1_1_1_1_2_941,"{""type"":""Point"",""coordinates"":[110.37881842385639,-1.622748234091801]}"
Permanent Agriculture,1_1_1_1_2_952,"{""type"":""Point"",""coordinates"":[109.89111479476874,-1.0734588776935812]}"
Permanent Agriculture,1_1_1_1_2_961,"{""type"":""Point"",""coordinates"":[112.68766021041594,-1.41071501976002]}"
Permanent Agriculture,1_1_1_1_2_964,"{""type"":""Point"",""coordinates"":[109.60095464552593,-0.46375320545758625]}"
Permanent Agriculture,1_1_1_1_2_975,"{""type"":""Point"",""coordinates"":[110.17658911828455,-0.8867966007892515]}"
Permanent Agriculture,1_1_1_1_2_992,"{""type"":""Point"",""coordinates"":[114.94723896759724,-1.5804826656768027]}"
Permanent Agriculture,1_1_1_1_2_1003,"{""type"":""Point"",""coordinates"":[116.27410375150615,-1.6438876359155672]}"
Permanent Agriculture,1_1_1_1_2_1008,"{""type"":""Point"",""coordinates"":[109.45760572848495,1.5164924420631547]}"
Permanent Agriculture,1_1_1_1_2_1015,"{""type"":""Point"",""coordinates"":[113.0042147283615,-1.2037035242947765]}"
Permanent Agriculture,1_1_1_1_2_1034,"{""type"":""Point"",""coordinates"":[109.26235240301993,0.19632947518002786]}"
Permanent Agriculture,1_1_1_1_2_1037,"{""type"":""Point"",""coordinates"":[109.14392143511235,0.2881304499645506]}"
Permanent Agriculture,1_1_1_1_2_1054,"{""type"":""Point"",""coordinates"":[111.67690215488199,-2.476051802849004]}"
Permanent Agriculture,1_1_1_1_2_1061,"{""type"":""Point"",""coordinates"":[117.23331223891147,2.03308180836228]}"
Permanent Agriculture,1_1_1_1_2_1082,"{""type"":""Point"",""coordinates"":[110.31346121085288,-1.679804524019766]}"
Permanent Agriculture,1_1_1_1_2_1112,"{""type"":""Point"",""coordinates"":[118.04643041270538,1.2211480584477588]}"
Permanent Agriculture,1_1_1_1_2_1114,"{""type"":""Point"",""coordinates"":[112.69878955294374,-2.2340126081661507]}"
Permanent Agriculture,1_1_1_1_2_1124,"{""type"":""Point"",""coordinates"":[109.47258970490158,-0.26008302132391076]}"
